gc,score
0.4,0.29052602613101836
0.6,0.261585155259008
0.6,0.4286898005267848
0.65,0.34389880866460176
0.5,0.4764763920203499
0.3,0.41776097225754155
0.5,0.27361428089763806
0.45,0.28942798175241635
0.35,0.47537851042073703
0.55,0.33149976882597676
0.45,0.47709851809169934
0.5,0.3512646150977715
0.65,0.34900806973809784
0.65,0.40371136966606846
0.5,0.38262365466874576
0.7,0.38629951295645343
0.35,0.22581272871921892
0.55,0.3765326999127865
0.45,0.4170260847262714
0.35,0.4265701488956161
