tm,score
41.53582703338392,0.29052602613101836
52.99694401565752,0.261585155259008
48.196782349423,0.4286898005267848
48.723572698332006,0.34389880866460176
42.891716032997685,0.4764763920203499
34.15968428082568,0.41776097225754155
42.82686334991295,0.27361428089763806
39.318729651657605,0.28942798175241635
36.465060464923305,0.47537851042073703
42.09706547676926,0.33149976882597676
45.65907928409224,0.47709851809169934
51.06974618656225,0.3512646150977715
54.68083485861399,0.34900806973809784
52.81640128061582,0.40371136966606846
48.022676911951386,0.38262365466874576
54.90023711238816,0.38629951295645343
35.72986398241159,0.22581272871921892
45.709708610466926,0.3765326999127865
44.93578062046696,0.4170260847262714
37.0449375009278,0.4265701488956161
